,level_0,index,YearStart,QTarget,Latitude,Longitude,Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q15,Q17,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q32,Q33,Q34,Q39,Q43,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q70,Hispanic,Black,Male,Overall,White,Female
0,587.0,587.0,2017.0,30.2,44.39319,-89.81637,57.3,97.0,75.5,50.5,36.93333333333333,54.0,6.466666666666666,40.0,60.0,4.733333333333333,13.833333333333334,60.0,29.2,35.6,56.1,49.0,36.2,31.4,53.70000000000001,13.7,31.0,93.9,25.1,89.8,11.700000000000001,15.9,78.7,66.73333333333333,34.0,3.7,28.4,33.6,39.0,70.9,14.133333333333333,31.9,3.2,4.5,16.8,0.0,1.0,0.0,0.0,0.0,0.0
1,114.0,114.0,2021.0,55.8,41.64104,-99.36572,36.0,92.5,52.1,60.6,33.1,43.5,3.8,41.1,58.9,4.2,14.2,28.3,9.9,18.5,28.4,46.7,49.6,40.6,40.2,5.7,16.9,79.3,26.7,64.9,3.0,9.7,57.8,68.1,32.1,3.2,21.9,33.6,36.9,77.8,41.3,22.1,2.3,3.2,9.2,1.0,0.0,0.0,0.0,0.0,0.0
2,393.0,393.0,2017.0,36.2,40.48501,-88.99771,43.4,97.0,61.6,56.5,28.2,30.9,5.2,24.0,76.0,4.3,25.9,44.8,20.3,32.1,46.1,30.4,29.1,24.4,37.3,6.2,33.8,91.2,33.4,71.8,5.7,11.5,69.6,63.9,34.3,3.2,28.7,22.2,31.7,70.1,13.7,16.1,2.1,3.4,17.3,0.0,0.0,1.0,0.0,0.0,0.0
3,477.0,477.0,2017.0,38.2,47.47532,-100.11842,55.2,97.4,59.8,59.5,36.4,29.9,4.9,24.1,75.9,4.0,16.9,49.2,29.5,38.6,56.6,32.2,35.5,24.4,43.3,11.4,27.0,89.0,29.7,83.1,6.0,8.7,69.9,64.3,46.9,4.1,36.2,27.8,31.2,62.0,9.1,16.5,2.4,3.9,17.1,0.0,0.0,0.0,0.0,0.0,1.0
4,158.0,158.0,2021.0,46.1,38.63579,-92.5663,51.9,96.9,58.5,71.1,34.6,32.5,5.1,23.0,77.0,5.1,17.2,43.7,30.6,36.7,53.9,30.6,33.7,28.4,36.8,9.1,35.0,89.8,38.4,80.7,8.6,11.1,72.0,65.7,47.1,4.8,29.6,24.8,36.8,69.1,11.1,16.4,2.9,3.9,16.7,0.0,0.0,0.0,0.0,1.0,0.0
5,536.0,536.0,2017.0,37.4,40.79373,-77.8607,56.4,96.8,58.1,64.5,32.4,30.9,5.1,23.0,77.0,4.4,18.9,49.1,31.6,41.7,59.4,31.3,34.8,24.6,41.1,9.7,33.3,91.9,32.9,79.1,7.1,10.2,73.9,65.4,45.2,4.0,30.9,24.3,31.5,67.0,6.9,17.5,2.8,4.4,18.8,0.0,0.0,0.0,0.0,1.0,0.0
6,212.0,212.0,2021.0,44.1,38.84384,-106.13361,50.2,94.0,50.7,64.4,23.4,22.8,5.2,35.7,64.3,4.2,20.7,41.1,15.8,23.3,46.1,44.2,29.5,44.4,47.3,9.4,20.5,84.5,27.1,64.0,3.3,9.5,54.2,63.2,38.6,4.3,29.7,25.2,31.6,68.5,30.6,19.9,2.5,3.3,14.2,1.0,0.0,0.0,0.0,0.0,0.0
7,356.0,356.0,2017.0,44.0,39.00883,-75.57774,47.2,98.0,61.3,65.2,36.5,34.0,5.5,24.8,75.2,4.8,14.8,51.4,25.3,34.7,41.6,32.8,38.2,33.6,46.3,10.6,34.9,93.3,32.5,77.3,8.1,11.3,68.9,62.2,45.4,4.1,29.5,31.0,31.8,68.5,12.6,18.8,2.6,4.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0
8,96.0,96.0,2021.0,61.4,42.827,-75.54397,49.1,91.4,60.8,60.7,45.5,34.6,8.4,45.7,54.3,3.6,14.3,47.7,17.3,26.2,36.9,48.8,47.0,51.6,51.3,11.2,25.4,89.6,33.0,73.4,4.3,12.7,60.4,61.5,39.2,4.1,27.5,37.2,33.5,70.9,19.5,23.7,2.7,4.0,11.2,1.0,0.0,0.0,0.0,0.0,0.0
9,405.0,405.0,2017.0,33.9,39.29058,-76.60926,45.9,98.2,61.8,66.8,28.4,28.8,4.0,20.2,79.8,4.5,19.2,45.3,20.6,29.6,39.5,27.8,32.1,18.6,34.5,6.8,33.7,92.6,33.0,74.6,5.4,10.9,74.0,61.3,42.8,3.0,27.4,23.2,30.2,70.9,12.9,14.0,2.0,3.1,16.0,0.0,0.0,1.0,0.0,0.0,0.0
10,503.0,503.0,2017.0,40.4,42.827,-75.54397,54.3,97.5,55.2,57.6,33.7,27.1,5.2,25.9,74.1,3.4,13.3,50.6,26.9,41.0,54.4,35.9,36.3,36.0,42.6,11.6,27.4,93.3,30.3,81.1,5.4,10.1,70.8,63.0,44.8,4.3,42.7,29.7,25.3,54.3,9.5,18.2,2.5,4.1,10.9,0.0,0.0,0.0,0.0,0.0,1.0
11,42.0,42.0,2021.0,41.1,40.13057,-74.27369,40.8,97.4,64.6,63.7,29.0,25.2,5.6,25.3,74.7,4.5,18.5,34.0,18.4,27.2,31.1,23.5,28.7,24.8,35.5,5.6,34.1,92.8,39.5,77.0,4.7,11.0,68.2,62.4,41.1,3.7,27.4,21.3,28.8,71.2,12.6,15.1,2.4,3.3,12.1,0.0,0.0,1.0,0.0,0.0,0.0
12,155.0,155.0,2021.0,46.0,43.23554,-108.10983,43.8,95.8,55.2,62.1,25.0,31.5,5.8,27.0,73.0,5.0,19.3,34.7,20.9,29.7,39.4,24.9,24.0,20.3,22.4,7.1,33.2,83.9,33.3,70.2,6.2,9.9,64.8,57.7,34.0,3.7,25.3,20.5,32.4,73.7,18.6,14.1,2.4,3.4,16.1,0.0,0.0,1.0,0.0,0.0,0.0
13,169.0,169.0,2021.0,49.9,31.82724,-99.42677,57.2,99.6,80.2,62.0,39.0,40.4,5.2,31.9,68.1,6.3,10.8,48.2,27.3,34.3,52.0,36.9,41.1,49.2,50.5,10.7,43.1,92.1,33.3,85.9,4.5,13.8,74.5,66.4,38.0,5.4,24.7,26.5,43.5,73.7,15.9,18.0,3.7,3.5,14.4,0.0,1.0,0.0,0.0,0.0,0.0
